# Time, Detrended Flux
8.905742593402974308e+03,-1.756254834659465303e-04
8.905743288541678339e+03,-1.515266370487267089e-03
8.905743980671279132e+03,-4.019604895113215726e-03
8.905744677661918104e+03,-2.653278962468919033e-04
8.905745370833203197e+03,-1.919630994217103037e-04
8.905746070023160428e+03,1.191303912313923519e-03
8.905746761227026582e+03,-1.754839697873267212e-03
8.905747455786913633e+03,-4.576898653802619066e-03
8.905748149884399027e+03,-2.278646294579855791e-03
8.905748841203749180e+03,3.930369436436320640e-03
8.905749540393706411e+03,-5.961672893193270539e-04
8.905750233796425164e+03,-2.318502634480634761e-03
8.905750931249931455e+03,-2.966275110230842671e-03
8.905751622453797609e+03,-4.627152680125257156e-03
8.905752317245583981e+03,-8.958343046908678886e-04
8.905753011342603713e+03,-6.344530994207842056e-04
8.905753702546469867e+03,-1.895021548201203387e-03
8.905754405092447996e+03,1.107753084486917672e-02
8.905755093402694911e+03,-1.009510331364316116e-03
8.905755784606561065e+03,-3.518145277173867491e-03
8.905756484143435955e+03,-9.456512941574679587e-05
8.905757178356405348e+03,1.597336401488735902e-03
8.905757875347044319e+03,2.244359951454999447e-03
8.905758560532238334e+03,-1.630907615419618928e-03
8.905759261921513826e+03,-4.335830313412780690e-03
8.905759957291651517e+03,-6.227784973360517284e-04
8.905760647916700691e+03,2.315750830206964039e-03
8.905761347569525242e+03,-1.682594487593114252e-03
8.905762043634429574e+03,6.899042605766902980e-04
8.905762734143529087e+03,-2.820370236726876811e-03
8.905763427314814180e+03,3.196246655876588960e-04
8.905764125000219792e+03,-3.930862898610221201e-03
8.905764819791540504e+03,-2.274555424153001937e-03
8.905765508680604398e+03,5.904880037077564481e-04
8.905766204860992730e+03,4.162220101545210937e-03
8.905766901736147702e+03,-2.978277007701923829e-03
8.905767592129763216e+03,-4.316704843472241038e-04
8.905768284838180989e+03,7.692039902862379819e-04
8.905768982985988259e+03,-4.739696988399932920e-03
8.905769675694406033e+03,-4.102525682577740085e-04
8.905770370486192405e+03,-7.511889878164534906e-05
8.905771063657477498e+03,-1.068953878677891822e-04
8.905771759953815490e+03,7.961634546518325806e-04
8.905772454513702542e+03,3.886960411542572658e-03
8.905773150115739554e+03,3.884496389645608616e-04
8.905773842708207667e+03,6.695854928455036159e-03
8.905774532986339182e+03,2.181063764657986681e-03
8.905775231365580112e+03,1.348305790394688231e-03
8.905775927430484444e+03,1.689809802742470168e-03
8.905776617245282978e+03,2.249324913349282085e-03
8.905777317824307829e+03,-3.573750043951107180e-03
8.905778013888746500e+03,2.212100144940443158e-03
8.905778703588061035e+03,4.484556128958150367e-03
8.905779396990779787e+03,-1.760641197372181388e-03
8.905780092360917479e+03,1.765238498089516384e-03
8.905780787847004831e+03,2.957420777657260302e-03
8.905781483911909163e+03,2.980748402562571897e-03
8.905782175115775317e+03,9.256954780085813184e-04
8.905782875694334507e+03,-2.069688388375401367e-03
8.905783562384080142e+03,-7.104310840402305871e-04
8.905784262963104993e+03,1.143006896442422260e-03
8.905784953472204506e+03,-4.764387840950456976e-03
8.905785648958291858e+03,-2.671205814090638064e-03
8.905786345254629850e+03,-5.607915247054839902e-03
8.905787034027744085e+03,-5.767265300197998990e-03
8.905787730324082077e+03,-1.211066464571364243e-03
8.905788428009487689e+03,4.213796905976341378e-04
8.905789123379625380e+03,5.514364255787995717e-03
8.905789815972093493e+03,1.774576443959174910e-03
8.905790515162050724e+03,3.886085475748313200e-04
8.905791206481400877e+03,7.821816199721220997e-03
8.905791898842435330e+03,4.457934175334354876e-03
8.905792594097089022e+03,5.873338786337445327e-04
8.905793284606654197e+03,4.476814411140894734e-03
8.905793986689765006e+03,-1.016633009392364784e-03
8.905794678356498480e+03,6.647075743404506909e-04
8.905795371759217232e+03,-5.671410114405084357e-04
8.905796067824121565e+03,-6.363875946008401563e-03
8.905796770717483014e+03,-1.831363305823563437e-03
8.905797459027729928e+03,1.446009759144439855e-03
8.905798150115646422e+03,1.363771319662587800e-03
8.905798843402881175e+03,-4.360180677938418903e-03
8.905799539467785507e+03,1.086997545995949110e-03
8.905800229976885021e+03,-1.356394066419075450e-03
8.905800929050892591e+03,-2.128954721947962092e-03
8.905801618518307805e+03,-6.495780636848413891e-03
8.905802321990951896e+03,1.117036279276728550e-03
8.905803013194352388e+03,4.238791862432034208e-04
8.905803704166784883e+03,-3.504939353452085626e-03
8.905804403356276453e+03,-3.681434519545723205e-03
8.905805097222328186e+03,-1.455592532625504809e-03
8.905805782638955861e+03,-3.428935031499324992e-03
8.905806483911816031e+03,2.247519724440705247e-03
8.905807175115682185e+03,3.800429292799334391e-03
8.905807872801087797e+03,2.037982529368154161e-04
8.905808563078753650e+03,-2.481114866026978838e-03
8.905809260763693601e+03,-3.571523148603761300e-03
8.905809953472111374e+03,-4.669303440143490747e-04
8.905810649537015706e+03,1.309770466511483988e-03
8.905811345023103058e+03,-3.281357122389860770e-03
8.905812042013742030e+03,1.113848231546477052e-03
8.905812733796425164e+03,-8.747540019984345605e-04
8.905813429976813495e+03,-1.796117855554890674e-03
8.905814121064729989e+03,1.788503814658559676e-03
8.905814816550817341e+03,1.812842918641921486e-03
8.905815514930523932e+03,2.925180599731014297e-03
8.905816205208189785e+03,1.019205794689836964e-03
8.905816900810226798e+03,2.491890944489316695e-04
8.905817589467391372e+03,5.940106200168715489e-03
8.905818290972150862e+03,9.446534760315650203e-05
8.905818984259385616e+03,-2.024437227009401319e-03
8.905819673147983849e+03,-1.708126234186146952e-03
8.905820374652743340e+03,-2.537919684441281021e-03
8.905821062037255615e+03,2.693359365508296577e-03
8.905821763194631785e+03,-2.045903577469032619e-03
8.905822455787099898e+03,8.541976524947259009e-04
8.905823153356555849e+03,4.285597466417989665e-03
8.905823845949023962e+03,-1.168728038976274419e-03
8.905824541435111314e+03,3.862533134720846917e-03
8.905825233912095428e+03,-1.800406405198295978e-03
8.905825930208433419e+03,3.470077187625930648e-03
8.905826618518680334e+03,2.092751643992807331e-03
8.905827311689965427e+03,-4.131155463900082481e-04
8.905828005786985159e+03,-5.234850609268093535e-04
8.905828702546190470e+03,4.082723080500727519e-04
8.905829395138658583e+03,1.592236178177053318e-03
8.905830092824064195e+03,5.301563754279481344e-03
8.905830790393520147e+03,2.848314645236715847e-03
8.905831481018569320e+03,1.240010335878949377e-04
8.905832177661824971e+03,2.959438655780743943e-05
8.905832874652929604e+03,-2.348219951722296805e-03
8.905833565856330097e+03,2.612777760916396019e-03
8.905834259722381830e+03,2.792363645865991728e-03
8.905834956018719822e+03,3.957340523702335133e-03
8.905835649305488914e+03,4.344928838666550774e-04
8.905836340393405408e+03,-5.591686575674659210e-03
8.905837039467412978e+03,-3.570379992609451492e-03
8.905837729050777853e+03,-7.039466312854791852e-04
8.905838427430484444e+03,-2.972590723688273151e-03
8.905839118634350598e+03,2.461594815033274486e-03
8.905839808217715472e+03,1.803194684856901375e-03
8.905840511689893901e+03,1.050640301817340472e-03
8.905841205671429634e+03,-6.048227465960120952e-04
8.905841898958198726e+03,2.132971101875824615e-04
8.905842597337905318e+03,-2.011770822855640795e-03
8.905843287731520832e+03,-4.958139409854678270e-03
8.905843979629687965e+03,-4.884811995571225474e-03
8.905844680903013796e+03,-3.757077962440624752e-03
8.905845371874980628e+03,-7.404413143889065907e-03
8.905846063078846782e+03,-1.990777393976794762e-03
8.905846762036904693e+03,-1.299021926940202576e-03
8.905847458333242685e+03,-1.609661969952380645e-04
8.905848148032557219e+03,-1.821081791760326141e-03
8.905848846990615129e+03,-1.827577899230714564e-03
8.905849543286953121e+03,-2.974005918194966291e-03
8.905850230902899057e+03,-7.741084053776159379e-04
