Sp_ID,2MASS_ID,gaia,RA_1,DEC_1,,
Sp0121-4447,01211220-4447035,4935070839335879936,20.3009974,-44.7843342,,
Sp0123-4240,01235905-4240073,4983839338285335680,20.995903,-42.6686582,,
Sp0124+8334,01241358+8334352,572481658379312896,21.0518681,83.5763529,,
Sp0125+2847,01245988+2847587,309062449301821056,21.2500094,28.7996263,,
Sp0128+0211,01282067+0211182,2559347994957228288,22.0860665,2.1884858,,
Sp0130+1721,01300580+1721434,2593537751408707584,22.5241905,17.3620995,,
Sp0130-4445,01303563-4445411,4934682372428878208,22.6487001,-44.7614414,,
Sp0130-0211,01304280-0211294,2485433257060541184,22.6785363,-2.1915204,,
Sp0132-0910,01321248-0910029,2465008007508485632,23.0520391,-9.1675232,,
Sp0132+2552,01325002+2552410,295161186352604800,23.2087503,25.8780175,,
Sp0134-3255,01341841-3255502,5015644533184833920,23.5767627,-32.9306907,,
Sp0135+1205,01353586+1205216,2586051833860608128,23.8994272,12.08942,,
Sp0141+1804,01410321+1804502,94712996769289856,25.2636446,18.0806042,,
Sp0141-2417,01411479-2417311,5038991425649132288,25.3115712,-24.2920617,,
Sp0144-0716,01443536-0716142,2467182154313027712,26.1475328,-7.2706428,,
Sp0144+5121,01443682+5121518,406123143916057216,26.1537265,51.3644298,,
Sp0148-6209,01485205-6209343,4712623767133748352,27.2175653,-62.1595225,,
Sp0151-6430,01511887-6430475,4699355032608266496,27.8298839,-64.5132051,,
Sp0151-0051,01514102-0051564,2506136919278381568,27.9210273,-0.8656641,,
Sp0151+6423,01515483+6423084,518201101498814208,27.9776496,64.3856717,,
Sp0154+4305,01540530+4305233,349186480457872128,28.5218087,43.0897875,,
Sp0155+0950,01550354+0950003,2570824594248255104,28.7648113,9.833449,,
Sp0156+0331,01565316+0331567,2512629230496996992,29.2213315,3.532456,,
Sp0157+6656,01570545+6656125,518891358563964928,29.2736918,66.9368356,,
Sp0158+1807,01581572+1807128,91196316201965184,29.5654808,18.1202508,,
Sp0200-0554,02004140-0554076,2490879035073732864,30.1725555,-5.9020649,,
Sp0202+7053,02021981+7053537,522185284946865792,30.5819037,70.8982892,,
