# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.736548263075761497e+03 9.997396623504408719e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.900000095367431641e+00 3.510101318359375000e+00 3.266787767410278320e+00 3.043699951171875000e+02 1.144564151763916016e+00
8.736548691375646740e+03 9.998597809988268859e-01 -9.348306804895401001e-02 -2.137384414672851562e-01 4.610000133514404297e+00 3.480712890625000000e+00 3.368457794189453125e+00 3.050499877929687500e+02 1.144002795219421387e+00
8.736549127676058561e+03 1.001046126736230946e+00 1.691085845232009888e-01 4.747456610202789307e-01 5.230000019073486328e+00 3.687276840209960938e+00 3.453996658325195312e+00 3.059200134277343750e+02 1.143452882766723633e+00
8.736549556575715542e+03 9.982240131172511743e-01 -1.313334554433822632e-01 -5.105595588684082031e-01 4.519999980926513672e+00 3.477353334426879883e+00 3.477353334426879883e+00 3.084500122070312500e+02 1.142911314964294434e+00
8.736549984375946224e+03 9.969552981612032072e-01 1.457030475139617920e-01 3.159756958484649658e-01 4.159999847412109375e+00 3.483398675918579102e+00 3.323294401168823242e+00 3.080799865722656250e+02 1.142374992370605469e+00
8.736550412675831467e+03 9.946262723758375612e-01 -1.485027968883514404e-01 -1.678245961666107178e-01 3.930000066757202148e+00 3.483746290206909180e+00 3.325455188751220703e+00 3.086000061035156250e+02 1.141843676567077637e+00
8.736550842175725847e+03 9.953290354342648749e-01 1.414570361375808716e-01 6.656020879745483398e-02 3.630000114440917969e+00 3.388328790664672852e+00 3.193076372146606445e+00 3.083599853515625000e+02 1.141316294670104980e+00
8.736551269975956529e+03 9.950336683629291690e-01 -7.707714289426803589e-02 2.768724784255027771e-02 3.680000066757202148e+00 3.495298624038696289e+00 3.121252059936523438e+00 3.075400085449218750e+02 1.140795350074768066e+00
8.736551699575968087e+03 9.960437250051188407e-01 -9.085474535822868347e-03 -8.540485799312591553e-02 3.660000085830688477e+00 3.380509138107299805e+00 3.098107099533081055e+00 3.096499938964843750e+02 1.140277862548828125e+00
8.736552128975745291e+03 9.947999123126786136e-01 -6.284813582897186279e-02 2.005754113197326660e-01 3.920000076293945312e+00 3.462702035903930664e+00 3.363546609878540039e+00 3.102399902343750000e+02 1.139765024185180664e+00
8.736552558575756848e+03 1.000514939075566101e+00 1.541415005922317505e-01 -8.835837244987487793e-02 3.730000019073486328e+00 3.408254623413085938e+00 3.187216281890869141e+00 3.119200134277343750e+02 1.139258623123168945e+00
8.736552987475879490e+03 1.003404646673202727e+00 -1.422778069972991943e-01 1.580686494708061218e-02 3.940000057220458984e+00 3.566383123397827148e+00 3.181943178176879883e+00 3.155199890136718750e+02 1.138755917549133301e+00
8.736553417275659740e+03 9.981649466364418410e-01 1.829732023179531097e-02 -2.181072160601615906e-02 3.839999914169311523e+00 3.484083175659179688e+00 3.275513648986816406e+00 3.169500122070312500e+02 1.138259410858154297e+00
