# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.701696348011028022e+03 1.009299683638535505e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.780000209808349609e+00 3.726794004440307617e+00 2.972190856933593750e+00 1.755000000000000000e+02 2.338911533355712891e+00
8.701696805710904300e+03 1.011621603465536978e+00 -4.737757146358489990e-01 2.704768478870391846e-01 4.349999904632568359e+00 3.427764177322387695e+00 3.427763938903808594e+00 1.720200042724609375e+02 2.326036930084228516e+00
8.701697270111180842e+03 1.010999388309636871e+00 1.075489968061447144e-01 -5.135134980082511902e-02 4.690000057220458984e+00 3.235591888427734375e+00 3.063470602035522461e+00 1.750599975585937500e+02 2.313484430313110352e+00
8.701697727310936898e+03 1.010140022582070696e+00 8.642254769802093506e-02 -1.475191581994295120e-02 4.599999904632568359e+00 3.651892423629760742e+00 3.010540485382080078e+00 1.730899963378906250e+02 2.300793886184692383e+00
8.701698196811135858e+03 1.002844587977980595e+00 -8.612245321273803711e-02 4.336265102028846741e-02 4.429999828338623047e+00 3.611698865890502930e+00 2.941009521484375000e+00 1.664799957275390625e+02 2.288424253463745117e+00
8.701698658410925418e+03 1.005254716558313666e+00 -2.311334609985351562e-01 6.360056251287460327e-02 3.740000009536743164e+00 3.818000078201293945e+00 2.999011516571044922e+00 1.559499969482421875e+02 2.276367902755737305e+00
8.701699115611147135e+03 1.003419618914154876e+00 7.039256691932678223e-01 -1.805985420942306519e-01 4.989999771118164062e+00 3.989717006683349609e+00 3.149923563003540039e+00 1.640700073242187500e+02 2.264185667037963867e+00
8.701699582211207598e+03 1.005190310542143806e+00 -1.648171097040176392e-01 1.952308118343353271e-01 5.389999866485595703e+00 3.671840429306030273e+00 2.866310358047485352e+00 1.583600006103515625e+02 2.252262115478515625e+00
8.701700044411234558e+03 1.004866073339194754e+00 -1.156452223658561707e-01 -4.370434209704399109e-02 4.449999809265136719e+00 3.483690500259399414e+00 3.037446975708007812e+00 1.631600036621093750e+02 2.240492582321166992e+00
8.701700506710913032e+03 1.006608994215519859e+00 -3.114319741725921631e-01 -2.126390635967254639e-01 4.050000190734863281e+00 3.537744283676147461e+00 2.920985937118530273e+00 1.604199981689453125e+02 2.228711366653442383e+00
8.701700973310973495e+03 1.008277704508743877e+00 6.246621608734130859e-01 3.265362679958343506e-01 4.389999866485595703e+00 3.334760427474975586e+00 3.200265645980834961e+00 1.617599945068359375e+02 2.217210054397583008e+00
8.701701436311006546e+03 1.003938272341713622e+00 -5.364444255828857422e-01 -2.179299741983413696e-01 4.030000209808349609e+00 3.818757772445678711e+00 3.050940275192260742e+00 1.501199951171875000e+02 2.205920219421386719e+00
8.701701896410901099e+03 1.008770268004794746e+00 1.194964796304702759e-01 -1.035457700490951538e-01 4.699999809265136719e+00 3.443759918212890625e+00 3.295885801315307617e+00 1.496399993896484375e+02 2.194540977478027344e+00
8.701702363711316139e+03 1.004618511383892354e+00 1.082899142056703568e-02 -6.183841452002525330e-02 4.400000095367431641e+00 3.227877855300903320e+00 3.227877855300903320e+00 1.452400054931640625e+02 2.183412551879882812e+00
8.701702829611022025e+03 1.008306806461062743e+00 3.489090204238891602e-01 4.511969387531280518e-01 4.130000114440917969e+00 3.536839723587036133e+00 2.907831192016601562e+00 1.411799926757812500e+02 2.172268390655517578e+00
8.701703296910971403e+03 1.010446510363738559e+00 1.266284734010696411e-01 -6.885942071676254272e-02 4.340000152587890625e+00 3.561231374740600586e+00 3.097058534622192383e+00 1.409799957275390625e+02 2.161293268203735352e+00
8.701703764111269265e+03 1.003788512593271065e+00 -5.363240242004394531e-01 -1.757247149944305420e-01 3.880000114440917969e+00 3.664967536926269531e+00 2.805753946304321289e+00 1.396199951171875000e+02 2.150553703308105469e+00
8.701704228010959923e+03 1.007815381874386018e+00 3.116477429866790771e-01 1.172658354043960571e-01 3.789999961853027344e+00 3.594799757003784180e+00 3.310276508331298828e+00 1.376499938964843750e+02 2.139806985855102539e+00
8.701704696611035615e+03 9.978372677084215159e-01 1.376103758811950684e-01 -1.807784438133239746e-01 3.539999961853027344e+00 3.560391902923583984e+00 2.824987888336181641e+00 1.389600067138671875e+02 2.129176616668701172e+00
8.701705166111234576e+03 1.003773832492636409e+00 1.919370144605636597e-01 1.833042949438095093e-01 3.990000009536743164e+00 3.959130764007568359e+00 2.636058092117309570e+00 1.384199981689453125e+02 2.118837594985961914e+00
8.701705650811083615e+03 9.982557428840780345e-01 -2.612066566944122314e-01 -1.137197986245155334e-01 4.170000076293945312e+00 3.661155223846435547e+00 2.891954183578491211e+00 1.330399932861328125e+02 2.107950687408447266e+00
8.701706118911039084e+03 1.002545792087486287e+00 -1.700661033391952515e-01 2.186982780694961548e-01 4.630000114440917969e+00 3.596894979476928711e+00 3.046044111251831055e+00 1.363699951171875000e+02 2.097837686538696289e+00
