# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.596696107011288404e+03 9.973420996399985361e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.460000038146972656e+00 3.302897214889526367e+00 2.964832782745361328e+00 1.261180053710937500e+03 2.283429145812988281e+00
8.596696569211315364e+03 9.982632303116574235e-01 7.263700008392333984e+00 1.528633356094360352e+00 3.119999885559082031e+00 3.437957763671875000e+00 2.873057126998901367e+00 1.255939941406250000e+03 2.272292613983154297e+00
8.596697033711243421e+03 9.976181352680106862e-01 7.291084527969360352e-02 -3.403527662158012390e-02 3.180000066757202148e+00 3.512852907180786133e+00 2.864474296569824219e+00 1.260910034179687500e+03 2.261293172836303711e+00
8.596697495911270380e+03 1.012614003274225238e+00 2.500099241733551025e-01 9.667862206697463989e-02 3.339999914169311523e+00 3.507369518280029297e+00 2.962537527084350586e+00 1.258380004882812500e+03 2.250446796417236328e+00
8.596697958911303431e+03 1.001581841652189109e+00 -2.281309515237808228e-01 9.799257852137088776e-03 3.279999971389770508e+00 3.204061031341552734e+00 3.204061031341552734e+00 1.257520019531250000e+03 2.239688158035278320e+00
8.596698422611225396e+03 1.001434322428417456e+00 2.801611125469207764e-01 1.285324543714523315e-01 3.460000038146972656e+00 3.578664302825927734e+00 2.956092596054077148e+00 1.263819946289062500e+03 2.229081869125366211e+00
8.596698887811042368e+03 9.975296140599299033e-01 -2.697897255420684814e-01 -3.085629269480705261e-02 3.220000028610229492e+00 3.643985271453857422e+00 2.806543827056884766e+00 1.262790039062500000e+03 2.218553066253662109e+00
8.596699350011069328e+03 1.001656786371070362e+00 2.014616131782531738e-01 3.003273531794548035e-02 3.130000114440917969e+00 3.582539319992065430e+00 2.855924606323242188e+00 1.261869995117187500e+03 2.208223342895507812e+00
8.596699810910969973e+03 9.995252993065840696e-01 -2.043799012899398804e-01 -3.817137330770492554e-02 3.349999904632568359e+00 3.384689807891845703e+00 2.870510816574096680e+00 1.268780029296875000e+03 2.197985172271728516e+00
8.596700273010879755e+03 9.963906995644071785e-01 1.776011288166046143e-01 -2.744828909635543823e-02 3.549999952316284180e+00 3.713054418563842773e+00 2.936651706695556641e+00 1.266800048828125000e+03 2.187892436981201172e+00
8.596700734611134976e+03 1.004064476365131187e+00 5.071132909506559372e-03 3.686043620109558105e-02 3.539999961853027344e+00 3.753571987152099609e+00 2.752450227737426758e+00 1.264780029296875000e+03 2.177871942520141602e+00
8.596701196111273021e+03 9.996207639390978228e-01 7.272080332040786743e-02 1.710571534931659698e-02 3.309999942779541016e+00 3.197950124740600586e+00 3.197950124740600586e+00 1.273770019531250000e+03 2.167975902557373047e+00
8.596701660211198032e+03 9.960746813782359599e-01 -6.185035407543182373e-02 8.969003334641456604e-03 3.319999933242797852e+00 3.179566621780395508e+00 3.179566621780395508e+00 1.275489990234375000e+03 2.158133983612060547e+00
8.596702124411240220e+03 9.967721384148009456e-01 9.274788899347186089e-04 -4.867039993405342102e-02 3.349999904632568359e+00 3.568835735321044922e+00 2.812984466552734375e+00 1.285209960937500000e+03 2.148431777954101562e+00
8.596702589711174369e+03 9.898611526059571952e-01 7.547870278358459473e-02 -2.013123035430908203e-02 3.369999885559082031e+00 3.782986402511596680e+00 2.817376375198364258e+00 1.280569946289062500e+03 2.138790845870971680e+00
8.596703052510973066e+03 9.993885582848338611e-01 1.109773758798837662e-02 4.402811080217361450e-02 3.299999952316284180e+00 3.429816007614135742e+00 3.019891738891601562e+00 1.270349975585937500e+03 2.129300832748413086e+00
8.596703516210895032e+03 9.893048371228264637e-01 -1.635616421699523926e-01 -1.317936778068542480e-01 3.210000038146972656e+00 3.066682577133178711e+00 3.066682577133178711e+00 1.259729980468750000e+03 2.119937419891357422e+00
8.596703978511039168e+03 9.972960740598452167e-01 -1.714483052492141724e-01 -5.915422737598419189e-02 3.069999933242797852e+00 3.354610204696655273e+00 2.870626449584960938e+00 1.255969970703125000e+03 2.110683441162109375e+00
8.596704440811183304e+03 1.004484100138089975e+00 2.112568914890289307e-02 2.296972088515758514e-02 3.039999961853027344e+00 3.374523878097534180e+00 2.871255397796630859e+00 1.258099975585937500e+03 2.101510524749755859e+00
