# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.986395682453643531e+03 9.975108080074330807e-01 -6.679709434509277344e+00 -8.099206924438476562e+00 4.550000190734863281e+00 3.994528055191040039e+00 3.306063413619995117e+00 1.426180053710937500e+03 2.270663022994995117e+00
8.986396638653706759e+03 9.948845697509329788e-01 -6.045877456665039062e+00 -8.384978294372558594e+00 4.590000152587890625e+00 4.107522487640380859e+00 3.234238862991333008e+00 1.418170043945312500e+03 2.255444526672363281e+00
8.986397595553658903e+03 9.963735242432828487e-01 -5.864090442657470703e+00 -8.347112655639648438e+00 4.630000114440917969e+00 3.522546052932739258e+00 3.522546052932739258e+00 1.420150024414062500e+03 2.240459918975830078e+00
8.986398550553712994e+03 9.976552973637190513e-01 -6.780889511108398438e+00 -8.354043960571289062e+00 4.670000076293945312e+00 3.838377475738525391e+00 3.272949218750000000e+00 1.403510009765625000e+03 2.225676774978637695e+00
8.986399506053421646e+03 9.984286056609062987e-01 -6.789994716644287109e+00 -8.455709457397460938e+00 5.070000171661376953e+00 3.515250921249389648e+00 3.515250921249389648e+00 1.399410034179687500e+03 2.211121082305908203e+00
8.986400460053700954e+03 9.991207595462451296e-01 -6.270372867584228516e+00 -8.713304519653320312e+00 5.079999923706054688e+00 3.659969568252563477e+00 3.659969329833984375e+00 1.453849975585937500e+03 2.196732997894287109e+00
8.986401417053304613e+03 9.987307735390127394e-01 -6.576801300048828125e+00 -8.838313102722167969e+00 4.639999866485595703e+00 3.970280647277832031e+00 2.962140560150146484e+00 1.418719970703125000e+03 2.182544469833374023e+00
8.986402371853590012e+03 1.000672688016458700e+00 -6.521182537078857422e+00 -8.961459159851074219e+00 5.019999980926513672e+00 3.922471284866333008e+00 3.016199111938476562e+00 1.440640014648437500e+03 2.168582677841186523e+00
8.986403325153514743e+03 9.954123295299501795e-01 -6.710366725921630859e+00 -8.976593971252441406e+00 4.590000152587890625e+00 4.030700206756591797e+00 3.217927694320678711e+00 1.438800048828125000e+03 2.154796361923217773e+00
8.986404280153568834e+03 9.952677709253667793e-01 -6.984741210937500000e+00 -9.116686820983886719e+00 4.610000133514404297e+00 4.066390991210937500e+00 2.947950839996337891e+00 1.384469970703125000e+03 2.141194105148315430e+00
8.986405234153382480e+03 9.994474727918173373e-01 -6.802040100097656250e+00 -9.250289916992187500e+00 4.309999942779541016e+00 4.090535640716552734e+00 3.146059751510620117e+00 1.346040039062500000e+03 2.127730369567871094e+00
8.986406192053575069e+03 1.001248460370845583e+00 -6.671081066131591797e+00 -9.526359558105468750e+00 5.079999923706054688e+00 3.676883935928344727e+00 3.326054811477661133e+00 1.338969970703125000e+03 2.114489793777465820e+00
8.986407146153505892e+03 1.001130282333069665e+00 -6.752554416656494141e+00 -9.596827507019042969e+00 4.880000114440917969e+00 4.079741954803466797e+00 3.373399019241333008e+00 1.327640014648437500e+03 2.101421833038330078e+00
8.986408103053458035e+03 1.000477123130134371e+00 -7.555434226989746094e+00 -9.580362319946289062e+00 5.289999961853027344e+00 4.135520935058593750e+00 3.168347597122192383e+00 1.297849975585937500e+03 2.088501691818237305e+00
8.986409055153373629e+03 9.964052452215501621e-01 -7.547083377838134766e+00 -9.747461318969726562e+00 5.260000228881835938e+00 4.079903125762939453e+00 3.210533142089843750e+00 1.280189941406250000e+03 2.075817584991455078e+00
8.986410009853541851e+03 1.000771632681235257e+00 -8.132686614990234375e+00 -9.739598274230957031e+00 4.989999771118164062e+00 3.369310855865478516e+00 3.369310855865478516e+00 1.259699951171875000e+03 2.063106298446655273e+00
