# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.911529773648362607e+03 9.974356983596059933e-01 0.000000000000000000e+00 0.000000000000000000e+00 4.460000038146972656e+00 3.657728195190429688e+00 3.221432209014892578e+00 8.258300170898437500e+02 2.220960617065429688e+00
8.911530566147994250e+03 9.964001738926918650e-01 -2.196893468499183655e-02 -2.449667155742645264e-01 4.289999961853027344e+00 3.833468914031982422e+00 3.167354106903076172e+00 8.200000000000000000e+02 2.202377557754516602e+00
8.911531357747968286e+03 9.959563371484484451e-01 -4.042901694774627686e-01 1.207468435168266296e-01 4.190000057220458984e+00 4.020324707031250000e+00 2.880365610122680664e+00 8.142500000000000000e+02 2.184106588363647461e+00
8.911532150048296899e+03 9.977197814968037370e-01 8.184424787759780884e-02 -3.992535918951034546e-02 4.329999923706054688e+00 3.810631513595581055e+00 3.042889118194580078e+00 8.159299926757812500e+02 2.166189670562744141e+00
8.911532940948382020e+03 9.966255732073198148e-01 2.936632633209228516e-01 5.570295080542564392e-02 3.960000038146972656e+00 3.838791847229003906e+00 3.045374631881713867e+00 8.087999877929687500e+02 2.148562908172607422e+00
8.911533733848016709e+03 9.961168394545893978e-01 5.470529943704605103e-02 -4.633771255612373352e-02 3.849999904632568359e+00 3.631928920745849609e+00 3.044459819793701172e+00 8.034000244140625000e+02 2.131267786026000977e+00
8.911534524948336184e+03 1.000031399646035268e+00 8.546672761440277100e-02 -8.966539800167083740e-02 4.150000095367431641e+00 3.527494430541992188e+00 3.527494430541992188e+00 7.930700073242187500e+02 2.114278554916381836e+00
8.911535316948313266e+03 1.000547577099902608e+00 -2.376807108521461487e-02 5.510464683175086975e-02 3.910000085830688477e+00 3.885276317596435547e+00 3.123296976089477539e+00 7.950999755859375000e+02 2.097584247589111328e+00
8.911536108548287302e+03 9.998326045529981609e-01 1.124499961733818054e-01 4.482530802488327026e-02 4.150000095367431641e+00 3.781132221221923828e+00 3.090683460235595703e+00 8.050700073242187500e+02 2.081190586090087891e+00
8.911536900848150253e+03 9.980339163517450984e-01 4.533940255641937256e-01 4.769558086991310120e-02 4.329999923706054688e+00 3.807478904724121094e+00 3.029256582260131836e+00 8.066699829101562500e+02 2.065066814422607422e+00
8.911537692248355597e+03 9.894586318697069505e-01 -4.894379377365112305e-01 -1.259094178676605225e-01 4.119999885559082031e+00 3.741884708404541016e+00 2.960289239883422852e+00 8.028400268554687500e+02 2.049264430999755859e+00
8.911538483048323542e+03 1.001775334927171635e+00 1.736480742692947388e-01 7.011999934911727905e-02 3.859999895095825195e+00 3.805286884307861328e+00 3.025995016098022461e+00 8.018300170898437500e+02 2.033721208572387695e+00
8.911539274648297578e+03 9.966286279928582292e-01 -1.856020092964172363e-01 1.428144872188568115e-01 3.609999895095825195e+00 3.485031604766845703e+00 2.999400377273559570e+00 7.988499755859375000e+02 2.018422126770019531e+00
8.911540065548382699e+03 9.998636582519329075e-01 2.972454205155372620e-02 5.643232539296150208e-02 3.670000076293945312e+00 3.405599117279052734e+00 3.405599117279052734e+00 8.020300292968750000e+02 2.003380537033081055e+00
8.911540857748128474e+03 9.976874258181592792e-01 -3.580639883875846863e-02 -3.552855178713798523e-02 3.690000057220458984e+00 3.817515850067138672e+00 3.013472557067871094e+00 8.008200073242187500e+02 1.988571882247924805e+00
