# BJDMID, FLUX, DX, DY, FWHM, FWHM_X, FWHM_Y, SKY, AIRMASS
8.831549085801932961e+03 9.909378115037779100e-01 0.000000000000000000e+00 0.000000000000000000e+00 3.099999904632568359e+00 3.356359481811523438e+00 2.873806715011596680e+00 1.774619995117187500e+03 1.348719716072082520e+00
8.831550095601938665e+03 1.001008991419646499e+00 -1.867403537034988403e-01 -5.791845545172691345e-02 3.549999952316284180e+00 3.659488677978515625e+00 2.950852870941162109e+00 1.791979980468750000e+03 1.345734953880310059e+00
8.831551103801932186e+03 9.994221374536716995e-01 -4.301486611366271973e-01 -1.064868867397308350e-01 3.930000066757202148e+00 3.528094291687011719e+00 3.145747184753417969e+00 1.841819946289062500e+03 1.342790722846984863e+00
8.831552110602147877e+03 9.974471866109035911e-01 -1.294194608926773071e-01 -8.109555393457412720e-02 3.750000000000000000e+00 3.437336444854736328e+00 2.996702432632446289e+00 1.920530029296875000e+03 1.339877367019653320e+00
8.831553119102027267e+03 9.981809742268455965e-01 1.268735527992248535e-01 -8.880697935819625854e-02 3.700000047683715820e+00 3.551979780197143555e+00 3.044269323348999023e+00 2.208389892578125000e+03 1.337003231048583984e+00
8.831554125802125782e+03 9.971254256210311251e-01 6.713888049125671387e-02 -4.433398693799972534e-02 3.670000076293945312e+00 3.688872814178466797e+00 2.805411815643310547e+00 2.773969970703125000e+03 1.334164381027221680e+00
8.831555133701767772e+03 9.923394506250348135e-01 3.304304778575897217e-01 -4.462112858891487122e-02 3.900000095367431641e+00 3.746445178985595703e+00 2.997986555099487305e+00 2.729969970703125000e+03 1.331364631652832031e+00
8.831556140001863241e+03 9.995837760087337154e-01 -4.765056073665618896e-01 6.259834021329879761e-02 3.880000114440917969e+00 3.407801151275634766e+00 3.250697851181030273e+00 2.909959960937500000e+03 1.328598618507385254e+00
8.831557148402091116e+03 9.989566371797913291e-01 -2.692870609462261200e-02 1.872687190771102905e-01 3.529999971389770508e+00 3.522110939025878906e+00 2.741987705230712891e+00 2.910239990234375000e+03 1.325861334800720215e+00
8.831558156501967460e+03 1.001821954619019683e+00 -1.509829014539718628e-01 -2.656083740293979645e-02 3.569999933242797852e+00 3.513565540313720703e+00 2.964011430740356445e+00 3.041189941406250000e+03 1.323162436485290527e+00
8.831559164802078158e+03 9.940772345732900028e-01 1.757860183715820312e-01 4.378944635391235352e-02 3.539999961853027344e+00 3.425385475158691406e+00 2.824526309967041016e+00 2.738270019531250000e+03 1.320498228073120117e+00
8.831560172801837325e+03 9.963577597514367001e-01 1.236163154244422913e-01 5.931652337312698364e-02 4.010000228881835938e+00 3.769178152084350586e+00 3.063195228576660156e+00 2.516719970703125000e+03 1.317867279052734375e+00
8.831561180301941931e+03 1.004044333019882940e+00 5.898404717445373535e-01 -2.818986475467681885e-01 3.750000000000000000e+00 3.657051801681518555e+00 2.923215866088867188e+00 2.383439941406250000e+03 1.315273404121398926e+00
8.831562189301941544e+03 1.002141208270833417e+00 1.723478436470031738e-01 -1.318777054548263550e-01 3.690000057220458984e+00 3.474066972732543945e+00 3.152340173721313477e+00 2.235020019531250000e+03 1.312714099884033203e+00
8.831563195501919836e+03 9.997024212212086702e-01 -4.214690327644348145e-01 2.197386771440505981e-01 3.930000066757202148e+00 3.531805038452148438e+00 3.004280328750610352e+00 2.231439941406250000e+03 1.310186743736267090e+00
8.831564202901907265e+03 9.890482494182636364e-01 -6.192765831947326660e-01 1.924996376037597656e-01 4.300000190734863281e+00 3.874140739440917969e+00 3.138829231262207031e+00 2.252439941406250000e+03 1.307692646980285645e+00
8.831565210802014917e+03 9.999157196320945795e-01 -3.518627211451530457e-02 -1.205120012164115906e-01 4.380000114440917969e+00 3.679503917694091797e+00 3.045772314071655273e+00 2.656040039062500000e+03 1.305227041244506836e+00
8.831566220602020621e+03 1.003302008485262631e+00 -1.880654543638229370e-01 -1.022056713700294495e-01 4.519999980926513672e+00 3.821931362152099609e+00 2.992408990859985352e+00 3.509709960937500000e+03 1.302798628807067871e+00
8.831567228902131319e+03 9.969579653818654297e-01 5.928000807762145996e-01 -1.121651455760002136e-01 4.079999923706054688e+00 3.828939914703369141e+00 2.995718002319335938e+00 2.899939941406250000e+03 1.300402045249938965e+00
8.831568237201776356e+03 1.005175491778903085e+00 3.285495936870574951e-01 2.806399017572402954e-02 3.569999933242797852e+00 3.167628765106201172e+00 3.167628765106201172e+00 2.662860107421875000e+03 1.298038005828857422e+00
8.831569245401769876e+03 9.935423164437180432e-01 3.172071874141693115e-01 -9.559462219476699829e-02 3.640000104904174805e+00 3.611459016799926758e+00 2.824265956878662109e+00 2.717189941406250000e+03 1.295706152915954590e+00
8.831570253001991659e+03 9.974599336051408471e-01 2.377441227436065674e-01 1.212950721383094788e-01 3.660000085830688477e+00 3.553900003433227539e+00 3.083911895751953125e+00 2.575060058593750000e+03 1.293408751487731934e+00
8.831571260102093220e+03 9.967082807211027351e-01 -2.855663374066352844e-02 1.950480937957763672e-01 3.750000000000000000e+00 3.319422245025634766e+00 3.028580904006958008e+00 2.446790039062500000e+03 1.291140913963317871e+00
8.831572269202210009e+03 1.002649684185553003e+00 -1.817329972982406616e-01 -1.849383860826492310e-01 3.519999980926513672e+00 3.569118499755859375e+00 2.961512565612792969e+00 2.330909912109375000e+03 1.288907051086425781e+00
8.831573275901842862e+03 1.005871987891487906e+00 -1.708969473838806152e-01 3.655986860394477844e-02 2.950000047683715820e+00 3.511900901794433594e+00 2.619602918624877930e+00 2.252310058593750000e+03 1.286704182624816895e+00
8.831574284201953560e+03 1.001416623175001019e+00 6.491463631391525269e-02 -5.254723131656646729e-02 2.720000028610229492e+00 3.440370798110961914e+00 2.649227619171142578e+00 2.322520019531250000e+03 1.284533500671386719e+00
8.831575291002169251e+03 1.000405819942564722e+00 5.468263626098632812e-01 1.156417876482009888e-01 3.079999923706054688e+00 3.477721452713012695e+00 2.809225559234619141e+00 2.147909912109375000e+03 1.282389044761657715e+00
8.831576300002168864e+03 9.958442316053226495e-01 -3.238426148891448975e-01 6.578337401151657104e-02 2.890000104904174805e+00 3.387444496154785156e+00 2.826890707015991211e+00 2.190689941406250000e+03 1.280281782150268555e+00
8.831577307101804763e+03 9.963595695884309711e-01 -4.172792434692382812e-01 1.921489648520946503e-02 3.170000076293945312e+00 3.392900705337524414e+00 2.872752666473388672e+00 2.215120117187500000e+03 1.278198838233947754e+00
8.831578316802158952e+03 9.955034049210769176e-01 -7.648220658302307129e-02 3.013127110898494720e-02 3.250000000000000000e+00 3.585963726043701172e+00 2.921311378479003906e+00 2.963159912109375000e+03 1.276150822639465332e+00
8.831579322902020067e+03 9.944475265968231170e-01 -1.005253940820693970e-02 -3.519320115447044373e-02 3.230000019073486328e+00 2.996979713439941406e+00 2.996979713439941406e+00 2.502669921875000000e+03 1.274132728576660156e+00
8.831580331502016634e+03 9.973104024072817486e-01 -1.393164843320846558e-01 -1.624659262597560883e-02 3.230000019073486328e+00 3.573256492614746094e+00 2.713554859161376953e+00 2.187959960937500000e+03 1.272146701812744141e+00
8.831581337802112103e+03 1.006161821360130437e+00 7.785053551197052002e-02 2.315560281276702881e-01 3.529999971389770508e+00 3.559870719909667969e+00 2.752661466598510742e+00 2.100620117187500000e+03 1.270189642906188965e+00
8.831582345302216709e+03 1.002759717917464766e+00 -2.371164113283157349e-01 5.930030345916748047e-02 4.809999942779541016e+00 3.571360826492309570e+00 3.226062536239624023e+00 2.067060058593750000e+03 1.268260598182678223e+00
8.831583352901972830e+03 9.986149388519102166e-01 7.431433796882629395e-01 -4.421836435794830322e-01 4.519999980926513672e+00 3.998257637023925781e+00 3.024286746978759766e+00 2.078739990234375000e+03 1.266358613967895508e+00
8.831584363202098757e+03 9.896523343056453648e-01 6.674172878265380859e-01 -1.854095160961151123e-01 4.079999923706054688e+00 3.665030717849731445e+00 3.042459964752197266e+00 2.095979980468750000e+03 1.264491438865661621e+00
8.831585369701962918e+03 9.951307278891181607e-01 -1.258829832077026367e-01 5.779073759913444519e-02 4.179999828338623047e+00 3.835133314132690430e+00 2.993209600448608398e+00 2.104590087890625000e+03 1.262653946876525879e+00
8.831586376701947302e+03 9.937804273707214753e-01 -1.214800238609313965e+00 1.246157139539718628e-01 3.849999904632568359e+00 3.604824542999267578e+00 3.091590881347656250e+00 2.121149902343750000e+03 1.260848760604858398e+00
8.831587380901910365e+03 9.908935316288131068e-01 1.909926384687423706e-01 3.117802925407886505e-02 4.050000190734863281e+00 3.706700801849365234e+00 3.041106700897216797e+00 2.147050048828125000e+03 1.259067773818969727e+00
8.831588388502132148e+03 9.953388081895977457e-01 4.167903587222099304e-02 9.558989852666854858e-02 4.289999961853027344e+00 3.797683000564575195e+00 3.091985940933227539e+00 2.201669921875000000e+03 1.257313013076782227e+00
8.831589397402014583e+03 1.001150272073625613e+00 5.236129164695739746e-01 1.322531253099441528e-01 4.340000152587890625e+00 4.014062881469726562e+00 3.105723857879638672e+00 2.203020019531250000e+03 1.255588412284851074e+00
8.831590405702125281e+03 9.966293345250500924e-01 -1.250268220901489258e-01 2.336462773382663727e-02 3.599999904632568359e+00 3.735917568206787109e+00 2.988677263259887695e+00 2.223219970703125000e+03 1.253892779350280762e+00
8.831591413802001625e+03 1.001103264428123030e+00 -3.021351099014282227e-01 7.494430989027023315e-02 4.289999961853027344e+00 3.585655450820922852e+00 3.049911975860595703e+00 2.225239990234375000e+03 1.252228379249572754e+00
8.831592419901862741e+03 9.968907280557650630e-01 -2.527264654636383057e-01 -1.152431368827819824e-01 3.809999942779541016e+00 3.697842597961425781e+00 3.024003744125366211e+00 2.208620117187500000e+03 1.250586748123168945e+00
8.831593429001979530e+03 9.937192713800151456e-01 1.348510291427373886e-02 -3.075879216194152832e-01 3.900000095367431641e+00 3.708816528320312500e+00 3.173846960067749023e+00 2.188000000000000000e+03 1.248980402946472168e+00
8.831594435402192175e+03 9.993124426131436699e-01 1.370207369327545166e-01 4.897588118910789490e-02 3.950000047683715820e+00 3.601041793823242188e+00 3.025557041168212891e+00 2.182149902343750000e+03 1.247398257255554199e+00
8.831595442101825029e+03 9.980817101296028948e-01 -1.993916481733322144e-01 -8.485446870326995850e-02 4.090000152587890625e+00 3.694136857986450195e+00 3.098942279815673828e+00 2.175830078125000000e+03 1.245844960212707520e+00
8.831596449601929635e+03 1.005841769662993990e+00 2.476069927215576172e-01 1.724478304386138916e-01 4.170000076293945312e+00 3.601543903350830078e+00 3.090626239776611328e+00 2.179260009765625000e+03 1.244318962097167969e+00
8.831597457202151418e+03 9.969594694441480387e-01 -1.667133122682571411e-01 1.169413328170776367e-01 4.090000152587890625e+00 3.685646295547485352e+00 3.195345401763916016e+00 2.176290039062500000e+03 1.242820262908935547e+00
8.831598465302027762e+03 9.934059669566801531e-01 -3.129409849643707275e-01 1.094597503542900085e-01 4.010000228881835938e+00 3.646944999694824219e+00 3.075526475906372070e+00 2.177729980468750000e+03 1.241346478462219238e+00
8.831599473602138460e+03 9.982374043876104386e-01 4.086826741695404053e-01 -3.697029501199722290e-02 3.960000038146972656e+00 3.817499637603759766e+00 3.130533456802368164e+00 2.170250000000000000e+03 1.239902019500732422e+00
8.831600482701789588e+03 9.944059551127234498e-01 3.409998416900634766e-01 -1.493744999170303345e-01 3.900000095367431641e+00 3.768859624862670898e+00 2.928423643112182617e+00 2.175350097656250000e+03 1.238483309745788574e+00
8.831601490901783109e+03 9.963444228581888051e-01 5.798733234405517578e-02 -5.214930977672338486e-03 3.819999933242797852e+00 3.903695583343505859e+00 2.875793933868408203e+00 2.182449951171875000e+03 1.237094402313232422e+00
8.831602498602122068e+03 9.958534623358804572e-01 1.901561319828033447e-01 1.936745643615722656e-02 3.990000009536743164e+00 3.668988943099975586e+00 3.082170248031616211e+00 2.201489990234375000e+03 1.235731482505798340e+00
8.831603506802115589e+03 9.972914116877868995e-01 -7.183785550296306610e-03 2.003578990697860718e-01 3.970000028610229492e+00 3.613795518875122070e+00 3.036756753921508789e+00 2.204239990234375000e+03 1.234394192695617676e+00
8.831604515301994979e+03 9.961045100139369612e-01 2.124791294336318970e-01 6.219688430428504944e-02 3.890000104904174805e+00 3.333094120025634766e+00 3.333094120025634766e+00 2.192510009765625000e+03 1.233087539672851562e+00
8.831605522002093494e+03 1.001232240565783194e+00 4.287645593285560608e-02 -2.145914733409881592e-02 3.880000114440917969e+00 3.702236652374267578e+00 3.006308555603027344e+00 2.195520019531250000e+03 1.231805562973022461e+00
8.831606529601849616e+03 1.004507166312066380e+00 -3.125988543033599854e-01 -1.636570990085601807e-01 3.519999980926513672e+00 3.733500480651855469e+00 2.936563014984130859e+00 2.224449951171875000e+03 1.230547785758972168e+00
8.831607539202086627e+03 1.007874211945896104e+00 -2.223969697952270508e-01 -5.710501596331596375e-02 3.650000095367431641e+00 3.673564672470092773e+00 2.810821056365966797e+00 2.251409912109375000e+03 1.229318499565124512e+00
8.831608547301962972e+03 1.001194012601649863e+00 1.548389494419097900e-01 9.495439939200878143e-03 3.500000000000000000e+00 3.687008619308471680e+00 2.884320974349975586e+00 2.276159912109375000e+03 1.228115200996398926e+00
8.831609554701950401e+03 1.002561616767163821e+00 -4.838380217552185059e-02 -4.372109833639115095e-04 3.180000066757202148e+00 3.507894515991210938e+00 2.876639604568481445e+00 2.285790039062500000e+03 1.226939797401428223e+00
8.831610562302172184e+03 1.004172611428840289e+00 -3.634699061512947083e-02 6.238620728254318237e-03 3.220000028610229492e+00 3.554677248001098633e+00 2.719903469085693359e+00 2.294320068359375000e+03 1.225789070129394531e+00
8.831611571202054620e+03 9.969756660807630455e-01 1.070154160261154175e-01 -5.718072876334190369e-02 3.210000038146972656e+00 3.557697772979736328e+00 2.814299106597900391e+00 2.297780029296875000e+03 1.224666833877563477e+00
8.831612578202039003e+03 9.985268493584880112e-01 -3.966660797595977783e-02 9.119209647178649902e-02 3.240000009536743164e+00 3.403162479400634766e+00 2.888779640197753906e+00 2.297610107421875000e+03 1.223567605018615723e+00
8.831613586402032524e+03 9.972837160074704554e-01 -1.871324926614761353e-01 -3.254542499780654907e-02 3.329999923706054688e+00 3.492771625518798828e+00 2.952360153198242188e+00 2.297729980468750000e+03 1.222496151924133301e+00
8.831614593201782554e+03 1.001634748419308885e+00 2.312361598014831543e-01 -7.509407401084899902e-02 3.099999904632568359e+00 3.467881917953491211e+00 2.910988569259643555e+00 2.303469970703125000e+03 1.221451878547668457e+00
8.831615599501878023e+03 9.926174933899252206e-01 1.538162529468536377e-01 -4.227505624294281006e-02 2.970000028610229492e+00 3.209243297576904297e+00 2.827157735824584961e+00 2.300919921875000000e+03 1.220432400703430176e+00
8.831616606101859361e+03 9.963046998003234345e-01 9.922033548355102539e-02 2.681501023471355438e-02 3.000000000000000000e+00 3.018962144851684570e+00 2.716024637222290039e+00 2.282409912109375000e+03 1.219435930252075195e+00
8.831617615901865065e+03 9.980772469385229551e-01 -3.338989615440368652e-01 -4.911384731531143188e-02 2.880000114440917969e+00 2.970542669296264648e+00 2.970542669296264648e+00 2.306979980468750000e+03 1.218466758728027344e+00
8.831618624702095985e+03 9.974598839762575109e-01 7.987010292708873749e-03 1.751119643449783325e-02 3.019999980926513672e+00 3.286930322647094727e+00 2.772371530532836914e+00 2.344419921875000000e+03 1.217521786689758301e+00
8.831619633101858199e+03 1.005185122292435951e+00 -1.799849122762680054e-01 -8.656691759824752808e-02 3.029999971389770508e+00 3.260426759719848633e+00 2.649214029312133789e+00 2.356090087890625000e+03 1.216603875160217285e+00
8.831620642002206296e+03 9.940782698226593439e-01 -4.143783152103424072e-01 1.343909949064254761e-01 3.119999885559082031e+00 3.172915458679199219e+00 2.936825990676879883e+00 2.346780029296875000e+03 1.215709328651428223e+00
8.831621650401968509e+03 9.988828220463623619e-01 -1.778334975242614746e-01 -1.066462025046348572e-01 3.180000066757202148e+00 3.430546045303344727e+00 2.777560710906982422e+00 2.340560058593750000e+03 1.214841485023498535e+00
8.831622659401968122e+03 1.000025534071668609e+00 1.177086532115936279e-01 7.603324204683303833e-02 3.180000066757202148e+00 3.529685735702514648e+00 2.768966674804687500e+00 2.336590087890625000e+03 1.213999032974243164e+00
8.831623666902072728e+03 1.001359157055059512e+00 3.492918312549591064e-01 -3.308321163058280945e-02 3.069999933242797852e+00 3.425333261489868164e+00 2.810804128646850586e+00 2.335830078125000000e+03 1.213182330131530762e+00
8.831624673701822758e+03 1.002147493019474478e+00 1.422735862433910370e-02 2.417933940887451172e-02 3.170000076293945312e+00 3.493834018707275391e+00 2.834673404693603516e+00 2.326439941406250000e+03 1.212389469146728516e+00
8.831625682602170855e+03 1.000898127861300280e+00 -2.660848200321197510e-01 7.345782220363616943e-02 3.240000009536743164e+00 3.269259929656982422e+00 3.053956508636474609e+00 2.325479980468750000e+03 1.211622238159179688e+00
8.831626691202167422e+03 1.000806840939536979e+00 -1.976302824914455414e-02 -8.252684772014617920e-02 2.940000057220458984e+00 3.287034511566162109e+00 2.984969139099121094e+00 2.318500000000000000e+03 1.210879683494567871e+00
8.831627700401935726e+03 9.983405289163074237e-01 -1.826790720224380493e-01 -1.146054267883300781e-01 3.250000000000000000e+00 3.462892055511474609e+00 3.004594087600708008e+00 2.289919921875000000e+03 1.210161924362182617e+00
8.831628708402160555e+03 9.973265839804900112e-01 -3.081840872764587402e-01 9.217432886362075806e-02 3.339999914169311523e+00 3.064277648925781250e+00 3.064277648925781250e+00 2.265290039062500000e+03 1.209470272064208984e+00
8.831629715101793408e+03 1.005112616966478800e+00 2.628281712532043457e-01 -9.023503400385379791e-03 3.170000076293945312e+00 3.342889070510864258e+00 2.812064647674560547e+00 2.262689941406250000e+03 1.208803653717041016e+00
8.831630722702015191e+03 9.940877204282302371e-01 2.796008288860321045e-01 -4.107320308685302734e-02 2.960000038146972656e+00 3.386157512664794922e+00 2.768026351928710938e+00 2.251010009765625000e+03 1.208160638809204102e+00
8.831631731501780450e+03 9.986897896078672510e-01 1.383343786001205444e-01 -1.212969869375228882e-01 3.160000085830688477e+00 3.256976842880249023e+00 2.995234727859497070e+00 2.253949951171875000e+03 1.207542300224304199e+00
8.831632738301996142e+03 9.975079873958648813e-01 -2.832726836204528809e-01 1.210874989628791809e-01 3.259999990463256836e+00 3.572438001632690430e+00 2.927898406982421875e+00 2.260750000000000000e+03 1.206949234008789062e+00
8.831633746501989663e+03 1.003188978206785320e+00 -1.732039749622344971e-01 6.090674176812171936e-02 3.240000009536743164e+00 3.311103582382202148e+00 2.663623571395874023e+00 2.258040039062500000e+03 1.206380486488342285e+00
8.831634754301980138e+03 9.983113228771992587e-01 3.433926999568939209e-01 -5.402594432234764099e-02 3.099999904632568359e+00 3.305179834365844727e+00 2.561660766601562500e+00 2.251060058593750000e+03 1.205835700035095215e+00
8.831635762302204967e+03 9.990184710794278722e-01 5.829261541366577148e-01 1.054790094494819641e-01 2.970000028610229492e+00 3.381761789321899414e+00 2.857172727584838867e+00 2.261520019531250000e+03 1.205315589904785156e+00
8.831636771602090448e+03 1.000269558156249516e+00 -5.170520767569541931e-02 -6.765177845954895020e-02 2.880000114440917969e+00 3.285856962203979492e+00 2.546879291534423828e+00 2.274250000000000000e+03 1.204820036888122559e+00
8.831637778602074832e+03 1.000325370301086370e+00 -1.604689359664916992e-01 -1.878407411277294159e-02 2.740000009536743164e+00 3.187901735305786133e+00 2.504770994186401367e+00 2.281020019531250000e+03 1.204349875450134277e+00
8.831638786002062261e+03 9.985144541628480086e-01 -6.029048189520835876e-02 7.411580532789230347e-02 3.130000114440917969e+00 3.348951578140258789e+00 2.774327516555786133e+00 2.287419921875000000e+03 1.203904509544372559e+00
8.831639791301917285e+03 1.003895348707091184e+00 -8.959131687879562378e-02 -3.726064413785934448e-02 3.000000000000000000e+00 2.994500160217285156e+00 2.994500160217285156e+00 2.309189941406250000e+03 1.203481793403625488e+00
8.831640798802021891e+03 9.980340040307855709e-01 -2.853983826935291290e-02 -1.266874279826879501e-02 2.839999914169311523e+00 3.342872142791748047e+00 2.801202297210693359e+00 2.333129882812500000e+03 1.203084111213684082e+00
8.831641806401778013e+03 9.988880119130826296e-01 1.691748201847076416e-01 -4.713656380772590637e-04 2.740000009536743164e+00 3.094739913940429688e+00 2.694424152374267578e+00 2.332149902343750000e+03 1.202710628509521484e+00
8.831642814001999795e+03 1.013132715336081180e+00 2.555662393569946289e-01 1.268737614154815674e-01 2.569999933242797852e+00 3.187483549118041992e+00 2.772479057312011719e+00 2.323389892578125000e+03 1.202361106872558594e+00
