# JD_UTC, Flux, Err, XShift, YShift, FWHM_X,  FWHM_Y, FWHM, SKY, AIRMASS, ExpTime
8.905722450347151607e+03 9.942012844321536091e-01 2.070928286679971520e-03 8.792707731839433105e-02 3.761814943160967095e-01 6.040829815833347993e+00 6.040829815833347993e+00 6.040829815833347993e+00 6.858048493395596097e+02 1.859044082530000086e+00 4.000000000000000000e+01
8.905723150231409818e+03 9.922369914743128794e-01 2.062955105831719687e-03 -2.001920780082792062e-01 6.772070344080263204e-01 5.812705612069745342e+00 5.812705612069745342e+00 5.812705612069745342e+00 6.772457543159816851e+02 1.847801452039999903e+00 4.000000000000000000e+01
8.905723839120473713e+03 9.957845142023666885e-01 2.052100988595635320e-03 7.539422319026748420e-01 1.819900927643506028e-01 6.519904994417139221e+00 6.519904994417139221e+00 6.519904994417139221e+00 6.805523800925300293e+02 1.836552227719999930e+00 4.000000000000000000e+01
8.905724539004731923e+03 9.997145309311045169e-01 2.042851454229584109e-03 -9.169743166792020395e-01 -5.762549887105413715e-01 -1.000000000000000000e+00 -1.000000000000000000e+00 -1.000000000000000000e+00 6.802142779654298010e+02 1.825511902999999991e+00 4.000000000000000000e+01
8.905725235879421234e+03 9.984018760422597172e-01 2.049729371109848281e-03 1.201553112198167961e+00 6.080082727170815771e-01 6.286650015068566688e+00 6.286650015068566688e+00 6.286650015068566688e+00 6.787550123972340543e+02 1.814820334490000020e+00 4.000000000000000000e+01
8.905725920486263931e+03 9.930645247354059624e-01 2.039828686487234286e-03 -1.009424333716785055e-01 -2.836695916037050846e-01 6.225863044671471336e+00 6.225863044671471336e+00 6.225863044671471336e+00 6.774481864453495064e+02 1.803997283219999970e+00 4.000000000000000000e+01
8.905726622453890741e+03 9.991034484358631840e-01 2.039393653295845828e-03 -4.324767902100177253e-01 -6.434117278328107536e-01 6.023018006072966557e+00 6.023018006072966557e+00 6.023018006072966557e+00 6.668749083881909883e+02 1.793454168830000084e+00 4.000000000000000000e+01
8.905727316319476813e+03 9.947855847529625262e-01 2.032763896404913336e-03 3.596527129297240055e-01 -6.045933967775453111e-01 5.707207966377207065e+00 5.707207966377207065e+00 5.707207966377207065e+00 6.577398439204955594e+02 1.783063104950000088e+00 4.000000000000000000e+01
8.905728010416496545e+03 1.000983726176070121e+00 2.029075580195765973e-03 -1.184910710969165892e+00 -1.076287363025272947e+00 6.023718518530457366e+00 6.023718518530457366e+00 6.023718518530457366e+00 6.561413434163214333e+02 1.772814157760000064e+00 4.000000000000000000e+01
8.905728705092798918e+03 9.943722676798847360e-01 2.026724048881842731e-03 -4.812586589478621835e-01 -1.173459151683059060e-01 5.852710593655643834e+00 5.852710593655643834e+00 5.852710593655643834e+00 6.537577893946759104e+02 1.762711804030000051e+00 4.000000000000000000e+01
